feature_family_id	sample_stem	status	area	apex_rt	peak_start_rt	peak_end_rt	neutral_loss_tag	family_center_mz	family_center_rt	area_baseline_corrected	area_uncertainty	area_uncertainty_formula_version	baseline_residual_mad	area_uncertainty_noise_source	baseline_type	baseline_score	uncertainty_fraction	baseline_fraction	integration_scan_count	area_baseline_corrected_asls	baseline_score_asls
FAM000004	BenignfatBC1055_DNA	rescued	3.53563e+07	12.642	12.4352	12.8071	DNA_dR	242.114	12.6515	3.12883e+07	20992.9	baseline_residual_mad_v1	2683.55	asls_residual	linear_edge	0.884943	0.000593753	0.884943	10	3.52534e+07	0.99709
FAM000004	BenignfatBC1151_DNA	rescued	3.95403e+07	12.6673	12.4619	12.832	DNA_dR	242.114	12.6515	3.47286e+07	26434.8	baseline_residual_mad_v1	3387.86	asls_residual	linear_edge	0.878311	0.000668554	0.878311	10	3.94135e+07	0.996793
FAM000004	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	4.83419e+07	12.1813	12.057	12.2639	DNA_dR	242.114	12.6515	3.70892e+07	20243.5	baseline_residual_mad_v1	3336.05	asls_residual	linear_edge	0.767227	0.000418757	0.767227	6	4.82699e+07	0.99851
FAM000004	Breast_Cancer_Tissue_pooled_QC5	duplicate_assigned	5.23444e+07	12.4051	12.198	12.5698	DNA_dR	242.114	12.6515	4.34833e+07	33794	baseline_residual_mad_v1	4681.53	asls_residual	linear_edge	0.830715	0.000645609	0.830715	10	5.21686e+07	0.996642
FAM000004	NormalBC2263_DNA	rescued	6.3133e+07	12.6797	12.5137	12.8454	DNA_dR	242.114	12.6515	5.0671e+07	36204.4	baseline_residual_mad_v1	4872.39	asls_residual	linear_edge	0.802607	0.000573461	0.802607	9	6.29609e+07	0.997273
FAM000004	NormalBC2312_DNA	detected	8.51033e+07	12.6515	12.4578	12.8154	DNA_dR	242.114	12.6515	6.66893e+07	44570.6	baseline_residual_mad_v1	8196.44	asls_residual	linear_edge	0.783628	0.000523724	0.783628	10	8.47925e+07	0.996349
FAM000004	TumorBC2263_DNA	duplicate_assigned	1.08662e+07	11.5674	11.4844	11.6502	DNA_dR	242.114	12.6515	7.73897e+06	4732.13	baseline_residual_mad_v1	855.161	asls_residual	linear_edge	0.712206	0.000435491	0.712206	5	1.08529e+07	0.99878
FAM000004	TumorBC2312_DNA	duplicate_assigned	9.30906e+07	12.1866	12.1038	12.3468	DNA_dR	242.114	12.6515	7.48289e+07	29943.5	baseline_residual_mad_v1	8018	asls_residual	linear_edge	0.803829	0.00032166	0.803829	7	9.28363e+07	0.997269
FAM000005	BenignfatBC1055_DNA	duplicate_assigned	3.53563e+07	12.642	12.4352	12.8071	DNA_dR	242.114	12.6673	3.12883e+07	20935.3	baseline_residual_mad_v1	2676.73	asls_residual	linear_edge	0.884943	0.000592122	0.884943	10	3.52534e+07	0.997089
FAM000005	BenignfatBC1151_DNA	duplicate_assigned	3.95403e+07	12.6673	12.4619	12.832	DNA_dR	242.114	12.6673	3.47286e+07	26639.1	baseline_residual_mad_v1	3414.04	asls_residual	linear_edge	0.878311	0.00067372	0.878311	10	3.94135e+07	0.996793
FAM000005	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	4.83419e+07	12.1813	12.057	12.2639	DNA_dR	242.114	12.6673	3.70892e+07	20190.8	baseline_residual_mad_v1	3326.54	asls_residual	linear_edge	0.767227	0.000417666	0.767227	6	4.82699e+07	0.998509
FAM000005	Breast_Cancer_Tissue_pooled_QC5	duplicate_assigned	5.23444e+07	12.4051	12.198	12.5698	DNA_dR	242.114	12.6673	4.34833e+07	34113.5	baseline_residual_mad_v1	4723.9	asls_residual	linear_edge	0.830715	0.000651712	0.830715	10	5.21687e+07	0.996643
FAM000005	NormalBC2263_DNA	duplicate_assigned	6.3133e+07	12.6797	12.5137	12.8454	DNA_dR	242.114	12.6673	5.0671e+07	36204.4	baseline_residual_mad_v1	4872.39	asls_residual	linear_edge	0.802607	0.000573461	0.802607	9	6.29609e+07	0.997273
